Kode MK;Mata Kuliah;SKS TATAP MUKA;sks_praktek_lapangan;sks_praktek;sks_simulasi
ES125101;Sejarah Pemikiran Ekonomi Syari'ah;2;0;0;0
ES125104;Ilmu Tafsir Ekonomi;2;0;0;0
ES225105;Dasar-dasar Manajemen;2;0;0;0
;Pengantar Akuntansi;2;0;0;0
ES225107;Filsafat Ilmu;2;0;0;0
ES325108;Analisis Perilaku Konsumen;3;0;0;0
ES325109;Ekonomi Mikro Islam;2;0;0;0
ES325110;Pengantar Bisnis ;3;0;0;0
ES325111;Manajemen Perbankan Syariah;3;0;0;0
ES325112;Prinsip-Prinsip Ekonomi Islam;3;0;0;0
ES325113;Kewirausahaan I;2;0;0;0
ES325114;Filsafat Ekonomi Syariah;2;0;0;0
ES325115;Qawaid Fiqhiyah Fi al-Iqtishad;2;0;0;0
ES425116;Ekonomi Moneter;2;0;0;0
ES425117;Ekonomi Makro Islam;2;0;0;0
ES425118;Bisnis Digital;3;0;0;0
ES425119;Manajemen Strategik dan Sumber Daya Insani;3;0;0;0
ES425121;Manajemen Pemasaran;3;0;0;0
ES425122;Pemasaran Lembaga Keuangan Syariah;3;0;0;0
ES425123;Kewirausahaan II;2;0;0;0
ES525124;Pasar Uang dan Modal Syariah;3;0;0;0
ES525125;Statistik Deskriptif;2;0;0;0
ES525126;Matematika Ekonomi;3;0;0;0
ES525127;Manajemen Koperasi dan UMKM;2;0;0;0
ES525128;Akuntansi Lembaga Keuangan Islam;3;0;0;0
ES525130;Manajemen Pengelolaan Zakat dan Wakaf;2;0;0;0
ES625132;Statistik Induktif;3;0;0;0
ES625133;Penganggaran Perusahaan;3;0;0;0
ES625134;Perbankan Syariah di Indonesia;2;0;0;0
ES625135;Perekonomian di Indonesia;2;0;0;0
ES625136;Lembaga Keuangan Syariah Non Bank;3;0;0;0
ES625137;Analisis Laporan Keuangan;3;0;0;0
ES625138;Manajemen Investasi dan Reksadana Syariah;3;0;0;0
ES625139;Studi Kelayakan Bisnis;3;0;0;0
ES725140;Ekonomi Digital Syariah;2;0;0;0
ES725141;Manajemen Asuransi Syariah;3;0;0;0
ES725142;Manajemen Pengelolaan BMT;3;0;0;0
ES725143;Magang/Praktek di LKS Non Bank;0;4;0;0
ES725145;Proposal;3;0;0;0